feature,importance
median_timers_domready,0.0455
median_timers_loaded,0.0397
max_timers_domready,0.0385
median_timers_boomr_lat,0.0379
max_timers_loaded,0.0352
session_avg_loadtime,0.0333
max_params_dom_ln,0.0318
max_timers_domload,0.0309
median_timers_domload,0.0287
median_timers_t_page,0.0230
median_timers_t_configfb,0.0224
median_timers_boomr_fb,0.0215
median_timers_t_configjs,0.0210
median_timers_t_done,0.0197
max_params_dom_script,0.0192
max_timers_t_resp,0.0187
max_timers_boomr_lat,0.0184
median_timers_before_dns,0.0182
median_timers_tcp,0.0181
max_timers_t_done,0.0179
max_params_dom_res,0.0156
max_timers_t_page,0.0150
max_timers_navst_to_boomr,0.0150
median_timers_boomr_ld,0.0144
median_params_dom_ln,0.0144
max_timers_boomr_ld,0.0143
user_agent_os,0.0139
max_timers_fb_to_boomr,0.0138
user_agent_family,0.0137
median_timers_t_resp,0.0134
median_params_dom_script,0.0130
max_timers_boomerang,0.0127
max_timers_t_configjs,0.0127
max_timers_boomr_fb,0.0126
median_timers_fb_to_boomr,0.0121
max_timers_t_configfb,0.0118
median_timers_boomerang,0.0118
max_timers_boomr_to_end,0.0114
user_agent_major,0.0113
median_timers_t_domloaded,0.0107
median_timers_navst_to_boomr,0.0105
median_timers_boomr_to_end,0.0103
max_timers_t_domloaded,0.0100
median_params_dom_res,0.0098
max_timers_custom3,0.0093
max_timers_before_dns,0.0091
median_timers_dns,0.0089
median_params_dom_img,0.0087
median_timers_custom3,0.0073
max_timers_tcp,0.0067
median_params_dom_doms,0.0062
max_params_dom_doms,0.0059
max_params_dom_img,0.0059
max_timers_custom1,0.0052
params_scr_bpp,0.0051
user_agent_device_type,0.0051
max_timers_custom0,0.0050
max_timers_renderstart,0.0050
median_timers_custom0,0.0050
median_timers_renderstart,0.0049
median_timers_custom1,0.0046
max_timers_custom2,0.0037
user_agent_manufacturer,0.0037
max_timers_dns,0.0037
median_timers_custom2,0.0031
geo_netspeed,0.0028
median_timers_custom5,0.0026
median_timers_custom4,0.0024
max_timers_custom4,0.0023
params_cpu_cnc,0.0021
max_timers_custom5,0.0021
median_params_bat_lvl,0.0020
max_timers_custom7,0.0019
median_timers_custom7,0.0016
timers_missing,0.0016
params_scr_orn,0.0015
max_timers_custom9,0.0015
median_timers_custom9,0.0015
params_scr_dpx,0.0013
mobile_connection_type,0.0012
max_timers_custom6,0.0011
median_timers_custom6,0.0009
median_timers_custom8,0.0007
max_timers_custom8,0.0007
params_scr_mtp,0.0003
max_timers_t_load,0.0003
median_timers_t_postrender,0.0003
max_timers_t_postrender,0.0003
median_timers_t_prerender,0.0003
median_timers_t_load,0.0003
max_timers_t_prerender,0.0002
max_bandwidth_kbps,0.0002
median_bandwidth_kbps,0.0002
